id,codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
2451,0026125505,0068,2017-09-30T13:20:00.000,19.4172,LA BELLA  - AUT,QUINDÍO,CALARCÁ,CAUCA,4.501111111,-75.67138889,Temp Aire 2 m,°C
2452,2120000105,0068,2019-08-13T22:37:00.000,10.48,EL CODITO - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.763,-74.022,Temp Aire 2 m,°C
2453,0026125508,0068,2019-03-05T14:05:00.000,25.37808,LACATALINA  - AUT,RISARALDA,PEREIRA,CAUCA,4.7475,-75.73805556,Temp Aire 2 m,°C
2454,0023065502,0068,2016-08-07T11:15:00.000,28.5,LA PALMA  - AUT,CUNDINAMARCA,LA PALMA,MEDIO MAGDALENA,5.330266667,-74.40156111,Temp Aire 2 m,°C
2455,2120000107,0068,2019-03-19T00:47:00.000,13.5,LA FISCALA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.536,-74.106,Temp Aire 2 m,°C
2456,0026125506,0068,2017-12-06T05:55:00.000,16.70275,EL AGRADO  - AUT,QUINDÍO,MONTENEGRO,CAUCA,4.518333333,-75.7925,Temp Aire 2 m,°C
2457,0036015501,0068,2018-07-29T21:20:00.000,20.63049,TAMARA  - AUT,CASANARE,TÁMARA,CASANARE,5.872219444,-72.11944167,Temp Aire 2 m,°C
2458,0026157170,0068,2012-12-27T10:00:00.000,1,CONEJERAS2 - AUT,CALDAS,VILLAMARIA,CAUCA,4.820388889,-75.37713889,Temp Aire 2 m,°C
2459,0021205012,0068,2010-09-03T02:00:00.000,12.1,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
2460,0026205501,0068,2019-07-12T00:00:00.000,17.60729,EL ROSARIO  - AUT,ANTIOQUIA,VENECIA,CAUCA,5.625830556,-75.70527778,Temp Aire 2 m,°C
2461,0053075020,0068,2017-08-20T15:00:00.000,20.8,EL DIVISO - AUT,CAUCA,ARGELIA,TAPAJE - DAGUA - DIRECTOS,2.311416667,-77.25877778,Temp Aire 2 m,°C
2462,0023125501,0068,2018-11-02T05:40:00.000,18.29736,PAUNA  - AUT,BOYACÁ,PAUNA,MEDIO MAGDALENA,5.657130556,-73.96032778,Temp Aire 2 m,°C
